patient_id	sample_id	sample_type	read_length	alignment
CGPLPA768	CGPLPA768T1	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA768T1.hg19.cram
CGPLPA769	CGPLPA769T1	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA769T1.hg19.cram
CGPLPA771	CGPLPA771T3	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA771T3.hg19.cram
CGPLPA772	CGPLPA772T2	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA772T2.hg19.cram
CGPLPA773	CGPLPA773T3	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA773T3.hg19.cram
CGPLPA774	CGPLPA774T1	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA774T1.hg19.cram
CGPLPA775	CGPLPA775T3	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA775T3.hg19.cram
CGPLPA777	CGPLPA777T3	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA777T3.hg19.cram
CGPLPA779	CGPLPA779T	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA779T.hg19.cram
CGPLPA780	CGPLPA780T3	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA780T3.hg19.cram
CGPLPA781	CGPLPA781T	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA781T.hg19.cram
CGPLPA785	CGPLPA785T	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA785T.hg19.cram
CGPLPA786	CGPLPA786T	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA786T.hg19.cram
CGPLPA787	CGPLPA787T	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA787T.hg19.cram
CGPLPA788	CGPLPA788T1	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA788T1.hg19.cram
CGPLPA789	CGPLPA789T3	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA789T3.hg19.cram
CGPLPA790	CGPLPA790T	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA790T.hg19.cram
CGPLPA791	CGPLPA791T1	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA791T1.hg19.cram
CGPLPA792	CGPLPA792T1	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA792T1.hg19.cram
CGPLPA794	CGPLPA794T	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA794T.hg19.cram
CGPLPA796	CGPLPA796T1	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA796T1.hg19.cram
CGPLPA797	CGPLPA797T1	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA797T1.hg19.cram
CGPLPA217	CGPLPA217N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA217N.hg19.cram
CGPLPA218	CGPLPA218N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA218N.hg19.cram
CGPLPA219	CGPLPA219N5	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA219N5.hg19.cram
CGPLPA220	CGPLPA220N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA220N.hg19.cram
CGPLPA221	CGPLPA221N1	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA221N1.hg19.cram
CGPLPA222	CGPLPA222N7	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA222N7.hg19.cram
CGPLPA223	CGPLPA223N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA223N.hg19.cram
CGPLPA224	CGPLPA224N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA224N.hg19.cram
CGPLPA226	CGPLPA226N3	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA226N3.hg19.cram
CGPLPA765	CGPLPA765N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA765N.hg19.cram
CGPLPA766	CGPLPA766N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA766N.hg19.cram
CGPLPA767	CGPLPA767N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA767N.hg19.cram
CGPLPA768	CGPLPA768N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA768N.hg19.cram
CGPLPA769	CGPLPA769N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA769N.hg19.cram
CGPLPA771	CGPLPA771N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA771N.hg19.cram
CGPLPA772	CGPLPA772N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA772N.hg19.cram
CGPLPA773	CGPLPA773N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA773N.hg19.cram
CGPLPA774	CGPLPA774N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA774N.hg19.cram
CGPLPA775	CGPLPA775N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA775N.hg19.cram
CGPLPA777	CGPLPA777N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA777N.hg19.cram
CGPLPA779	CGPLPA779N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA779N.hg19.cram
CGPLPA780	CGPLPA780N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA780N.hg19.cram
CGPLPA781	CGPLPA781N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA781N.hg19.cram
CGPLPA785	CGPLPA785N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA785N.hg19.cram
CGPLPA786	CGPLPA786N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA786N.hg19.cram
CGPLPA787	CGPLPA787N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA787N.hg19.cram
CGPLPA788	CGPLPA788N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA788N.hg19.cram
CGPLPA789	CGPLPA789N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA789N.hg19.cram
CGPLPA790	CGPLPA790N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA790N.hg19.cram
CGPLPA791	CGPLPA791N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA791N.hg19.cram
CGPLPA792	CGPLPA792N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA792N.hg19.cram
CGPLPA794	CGPLPA794N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA794N.hg19.cram
CGPLPA796	CGPLPA796N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA796N.hg19.cram
CGPLPA797	CGPLPA797N	normal	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA797N.hg19.cram
CGPLPA217	CGPLPA217P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA217P.hg19.cram
CGPLPA217	CGPLPA217P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA217P1.hg19.cram
CGPLPA217	CGPLPA217P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA217P2.hg19.cram
CGPLPA217	CGPLPA217P3	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA217P3.hg19.cram
CGPLPA217	CGPLPA217P4	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA217P4.hg19.cram
CGPLPA217	CGPLPA217P5	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA217P5.hg19.cram
CGPLPA217	CGPLPA217P6	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA217P6.hg19.cram
CGPLPA217	CGPLPA217P7	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA217P7.hg19.cram
CGPLPA217	CGPLPA217P8	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA217P8.hg19.cram
CGPLPA218	CGPLPA218P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA218P.hg19.cram
CGPLPA218	CGPLPA218P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA218P1.hg19.cram
CGPLPA219	CGPLPA219P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA219P1.hg19.cram
CGPLPA219	CGPLPA219P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA219P2.hg19.cram
CGPLPA219	CGPLPA219P3	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA219P3.hg19.cram
CGPLPA219	CGPLPA219P4	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA219P4.hg19.cram
CGPLPA219	CGPLPA219P5	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA219P5.hg19.cram
CGPLPA219	CGPLPA219P6	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA219P6.hg19.cram
CGPLPA220	CGPLPA220P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA220P1.hg19.cram
CGPLPA220	CGPLPA220P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA220P2.hg19.cram
CGPLPA220	CGPLPA220P3	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA220P3.hg19.cram
CGPLPA221	CGPLPA221P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA221P.hg19.cram
CGPLPA221	CGPLPA221P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA221P2.hg19.cram
CGPLPA221	CGPLPA221P3	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA221P3.hg19.cram
CGPLPA222	CGPLPA222P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA222P.hg19.cram
CGPLPA222	CGPLPA222P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA222P1.hg19.cram
CGPLPA222	CGPLPA222P10	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA222P10.hg19.cram
CGPLPA222	CGPLPA222P11	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA222P11.hg19.cram
CGPLPA222	CGPLPA222P12	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA222P12.hg19.cram
CGPLPA222	CGPLPA222P13	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA222P13.hg19.cram
CGPLPA222	CGPLPA222P14	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA222P14.hg19.cram
CGPLPA222	CGPLPA222P15	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA222P15.hg19.cram
CGPLPA222	CGPLPA222P16	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA222P16.hg19.cram
CGPLPA222	CGPLPA222P17	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA222P17.hg19.cram
CGPLPA222	CGPLPA222P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA222P2.hg19.cram
CGPLPA222	CGPLPA222P3	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA222P3.hg19.cram
CGPLPA222	CGPLPA222P4	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA222P4.hg19.cram
CGPLPA222	CGPLPA222P5	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA222P5.hg19.cram
CGPLPA222	CGPLPA222P7	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA222P7.hg19.cram
CGPLPA222	CGPLPA222P8	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA222P8.hg19.cram
CGPLPA222	CGPLPA222P9	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA222P9.hg19.cram
CGPLPA223	CGPLPA223P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA223P.hg19.cram
CGPLPA223	CGPLPA223P10	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA223P10.hg19.cram
CGPLPA223	CGPLPA223P11	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA223P11.hg19.cram
CGPLPA223	CGPLPA223P12	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA223P12.hg19.cram
CGPLPA223	CGPLPA223P14	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA223P14.hg19.cram
CGPLPA223	CGPLPA223P15	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA223P15.hg19.cram
CGPLPA223	CGPLPA223P16	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA223P16.hg19.cram
CGPLPA223	CGPLPA223P17	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA223P17.hg19.cram
CGPLPA223	CGPLPA223P18	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA223P18.hg19.cram
CGPLPA223	CGPLPA223P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA223P2.hg19.cram
CGPLPA223	CGPLPA223P3	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA223P3.hg19.cram
CGPLPA223	CGPLPA223P6	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA223P6.hg19.cram
CGPLPA223	CGPLPA223P7	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA223P7.hg19.cram
CGPLPA223	CGPLPA223P8	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA223P8.hg19.cram
CGPLPA223	CGPLPA223P9	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA223P9.hg19.cram
CGPLPA224	CGPLPA224P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P.hg19.cram
CGPLPA224	CGPLPA224P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P1.hg19.cram
CGPLPA224	CGPLPA224P10	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P10.hg19.cram
CGPLPA224	CGPLPA224P11	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P11.hg19.cram
CGPLPA224	CGPLPA224P12	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P12.hg19.cram
CGPLPA224	CGPLPA224P13	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P13.hg19.cram
CGPLPA224	CGPLPA224P14	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P14.hg19.cram
CGPLPA224	CGPLPA224P15	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P15.hg19.cram
CGPLPA224	CGPLPA224P16	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P16.hg19.cram
CGPLPA224	CGPLPA224P17	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P17.hg19.cram
CGPLPA224	CGPLPA224P18	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P18.hg19.cram
CGPLPA224	CGPLPA224P19	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P19.hg19.cram
CGPLPA224	CGPLPA224P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P2.hg19.cram
CGPLPA224	CGPLPA224P20	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P20.hg19.cram
CGPLPA224	CGPLPA224P21	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P21.hg19.cram
CGPLPA224	CGPLPA224P22	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P22.hg19.cram
CGPLPA224	CGPLPA224P23	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P23.hg19.cram
CGPLPA224	CGPLPA224P24	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P24.hg19.cram
CGPLPA224	CGPLPA224P25	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P25.hg19.cram
CGPLPA224	CGPLPA224P3	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P3.hg19.cram
CGPLPA224	CGPLPA224P4	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P4.hg19.cram
CGPLPA224	CGPLPA224P6	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P6.hg19.cram
CGPLPA224	CGPLPA224P7	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P7.hg19.cram
CGPLPA224	CGPLPA224P8	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P8.hg19.cram
CGPLPA224	CGPLPA224P9	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA224P9.hg19.cram
CGPLPA226	CGPLPA226P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA226P.hg19.cram
CGPLPA226	CGPLPA226P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA226P1.hg19.cram
CGPLPA226	CGPLPA226P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA226P2.hg19.cram
CGPLPA765	CGPLPA765P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA765P.hg19.cram
CGPLPA765	CGPLPA765P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA765P1.hg19.cram
CGPLPA765	CGPLPA765P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA765P2.hg19.cram
CGPLPA766	CGPLPA766P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA766P.hg19.cram
CGPLPA766	CGPLPA766P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA766P1.hg19.cram
CGPLPA767	CGPLPA767P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA767P.hg19.cram
CGPLPA767	CGPLPA767P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA767P1.hg19.cram
CGPLPA767	CGPLPA767P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA767P2.hg19.cram
CGPLPA767	CGPLPA767P3	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA767P3.hg19.cram
CGPLPA767	CGPLPA767P4	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA767P4.hg19.cram
CGPLPA767	CGPLPA767P5	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA767P5.hg19.cram
CGPLPA767	CGPLPA767P6	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA767P6.hg19.cram
CGPLPA768	CGPLPA768P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA768P.hg19.cram
CGPLPA768	CGPLPA768P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA768P1.hg19.cram
CGPLPA768	CGPLPA768P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA768P2.hg19.cram
CGPLPA768	CGPLPA768P3	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA768P3.hg19.cram
CGPLPA768	CGPLPA768P4	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA768P4.hg19.cram
